catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1520-5851,Environmental Science & Technology,1520-5851,,1520-5851,,Social Sciences,,,1700,3,,,,
issn-1355-770x,Environment and Development Economics,1355-770X,,1355-770X,,"Regional, Environmental & Resource Studies",,,,,1019,B,,
issn-1472-3409,Environment and Planning A,1472-3409,,1472-3409,,"Regional, Environmental & Resource Studies",,,1545,3,,,,
issn-0308-518x,Environment and Planning A: Economy and Space,0308-518X,,0308-518X,,"Regional, Environmental & Resource Studies",,,,,1020,B,,
issn-2399-8091,Environment and Planning B: Urban Analytics and City Science,2399-8091,,2399-8091,,"Regional, Environmental & Resource Studies",,,,,1021,B,,
issn-2399-6544,Environment and Planning C: Politics and Space,2399-6544,2399-6552,2399-6544;2399-6552,,"Regional, Environmental & Resource Studies",,,1476,3,,,,
issn-0263-7758,Environment and Planning D: Society and Space,0263-7758,1472-3433,0263-7758;1472-3433,,"Regional, Environmental & Resource Studies",,,1686,4,1022,B,,
issn-1366-5847,Ergonomics,1366-5847,,1366-5847,,Psychology & Behavior,,,1414,3,,,,
issn-0963-8180,European Accounting Review,0963-8180,1468-4497,0963-8180;1468-4497,,Accounting & Auditing,,,17,3,17,B,,
issn-0014-2921,European Economic Review,0014-2921,1873-572X,0014-2921;1873-572X,,Economics,,,166,3,339,B,,
issn-1354-7798,European Financial Management,1354-7798,1468-036X,1354-7798;1468-036X,,Finance,,,631,3,242,B,,
issn-1466-4364,European Journal of Finance,1466-4364,,1466-4364,,Finance,,,632,3,,,,
issn-1461-7129,European Journal of Industrial Relations,1461-7129,,1461-7129,,Human Resources & Employment,,,753,3,,,,
issn-0960-085x,European Journal of Information Systems,0960-085X,1476-9344,0960-085X;1476-9344,,Information Systems,,,864,4,576,B,,
issn-1354-0661,European Journal of International Relations,1354-0661,,1354-0661,,International Business & Affairs,,,,,645,B,,
issn-0309-0566,European Journal of Marketing,0309-0566,1758-7123,0309-0566;1758-7123,,Marketing,,,1072,3,765,B,,
issn-0377-2217,European Journal of Operational Research,0377-2217,1872-6860,0377-2217;1872-6860,,Engineering & Industrial Management,,,1218,4,541,A,,
issn-0046-2772,European Journal of Social Psychology,0046-2772,1099-0992,0046-2772;1099-0992,,Psychology & Behavior,,,1347,3,939,B,,
issn-1464-0643,European Journal of Work and Organizational Psychology,1464-0643,,1464-0643,,Management & Organization,,,1415,3,,,,
issn-1740-4762,European Management Review,1740-4762,,1740-4762,,Management & Organization,,,522,3,,,,
issn-0165-1587,European Review of Agricultural Economics,0165-1587,1464-3618,0165-1587;1464-3618,,Agricultural Economics,,,167,3,64,B,,
